,low,high,mean,actual,date
0,17.136545815501652,20.162519891476816,20.162519891476816,18.91,30.03.2021
1,17.16966642380315,20.204228966856753,20.204228966856753,19.06,31.03.2021
2,17.35645295447241,20.38868573260773,20.38868573260773,19.06,01.04.2021
3,17.32934341070623,20.37658844983005,20.37658844983005,19.94,06.04.2021
4,17.667596693791303,20.725617049665665,20.725617049665665,19.26,07.04.2021
5,17.831283931783226,20.89756996340415,20.89756996340415,19.17,08.04.2021
6,17.950241161777747,21.026686496157073,21.026686496157073,19.0,09.04.2021
7,18.103336039174796,21.160773029798598,21.160773029798598,19.76,12.04.2021
8,17.826425429427204,20.884165498935143,20.884165498935143,19.58,13.04.2021
9,17.86355813685952,20.928210499373282,20.928210499373282,19.82,14.04.2021
10,18.001131309696568,21.084459984424086,21.084459984424086,20.46,15.04.2021
11,18.393054195833002,21.481298662217814,21.481298662217814,20.6,16.04.2021
12,18.514591292426616,21.619769983455406,21.619769983455406,21.12,19.04.2021
13,18.87817753492453,22.00639514925942,22.00639514925942,21.03,20.04.2021
14,19.259672536201986,22.41236315441669,22.41236315441669,21.32,21.04.2021
15,19.472069232580548,22.64304930622194,22.64304930622194,21.31,22.04.2021
16,19.687729571089477,22.877086574144446,22.877086574144446,19.9,23.04.2021
17,19.58886671751862,22.769705479090252,22.769705479090252,20.26,26.04.2021
18,19.463964952499932,22.63360334766644,22.63360334766644,21.529999,27.04.2021
19,19.255614236021756,22.407353728632593,22.407353728632593,21.699999,28.04.2021
20,19.055569852213623,22.196711440103652,22.196711440103652,22.49,29.04.2021
21,19.655009371882873,22.84210560358668,22.84210560358668,23.450003,30.04.2021
22,20.40521215598891,23.656534006513425,23.656534006513425,23.1,04.05.2021
23,20.815061049296673,24.10183204101298,24.10183204101298,23.999998,05.05.2021
24,21.395328981502487,24.73179382196487,24.73179382196487,24.320002,06.05.2021
25,21.82535726116483,25.1985106629712,25.1985106629712,24.22,07.05.2021
26,21.990994799455876,25.378741572736082,25.378741572736082,25.14,10.05.2021
27,22.469930894010325,25.898585924480688,25.898585924480688,25.91,11.05.2021
28,22.77498841508686,26.229938618825788,26.229938618825788,26.19,12.05.2021
29,23.128091331466504,26.613716567958125,26.613716567958125,26.109999,13.05.2021
30,23.736019523947466,27.273758312146303,27.273758312146303,26.78,14.05.2021
31,24.140716076224955,27.712996000991165,27.712996000991165,26.090002,17.05.2021
32,24.2742445011896,27.857961341733915,27.857961341733915,24.68,18.05.2021
33,24.180450210746088,27.7560381306501,27.7560381306501,22.59,19.05.2021
34,23.77673804882804,27.31665752655906,27.31665752655906,24.770002,20.05.2021
35,22.960637783926625,26.430193679419233,26.430193679419233,24.82,21.05.2021
36,22.297927467124488,25.71136448793298,25.71136448793298,24.78,24.05.2021
37,22.123625076019977,25.52317344536164,25.52317344536164,26.41,25.05.2021
38,23.086733384062086,26.568406274780127,26.568406274780127,26.33,26.05.2021
39,23.352277303626675,26.857056879189955,26.857056879189955,24.999998,27.05.2021
40,23.665798856955238,27.1976953684526,27.1976953684526,25.13,28.05.2021
41,24.00794288441468,27.56821300039009,27.56821300039009,25.88,01.06.2021
42,23.699901391560207,27.233521510207584,27.233521510207584,25.770002,02.06.2021
43,23.393897672991745,26.90208503795955,26.90208503795955,25.939999,03.06.2021
44,23.644525429750612,27.1743188694788,27.1743188694788,25.99,04.06.2021
45,23.912751474236988,27.46526474202335,27.46526474202335,26.580002,07.06.2021
46,23.982799657311418,27.541477993131135,27.541477993131135,27.89,08.06.2021
47,24.262980069329295,27.845919500215526,27.845919500215526,28.12,09.06.2021
48,24.660865970909665,28.278312041579714,28.278312041579714,28.28,10.06.2021
49,25.300557076853444,28.97302305324563,28.97302305324563,28.01,11.06.2021
50,25.86656058905722,29.587177915159163,29.587177915159163,28.79,14.06.2021
51,26.013969041292803,29.747193709757923,29.747193709757923,28.11,15.06.2021
52,26.071523228578613,29.809687097232725,29.809687097232725,28.23,16.06.2021
53,26.0828911507896,29.82216507665755,29.82216507665755,28.57,17.06.2021
54,26.218772749204227,29.969224864973583,29.969224864973583,29.609999,18.06.2021
55,26.15943951350911,29.905356534268318,29.905356534268318,29.409996,21.06.2021
56,26.442639626116467,30.21314176530206,30.21314176530206,30.829998,22.06.2021
57,26.940497206453546,30.753942913059326,30.753942913059326,31.389997,23.06.2021
58,27.55015270216848,31.4158819803433,31.4158819803433,31.979998,24.06.2021
59,27.999002673346723,31.90385376813449,31.90385376813449,32.279995,25.06.2021
