,PI_low,PI_hi,date,actual
0,24.43181958471101,33.64524485386827,2021-06-09,28.18
1,24.72665040904706,34.02525462504826,2021-06-10,28.28
2,24.857576747359637,34.17763548516123,2021-06-11,27.95
3,24.639425188884104,33.899332625637854,2021-06-14,28.78
4,25.204554809261303,34.60737253523369,2021-06-15,28.110003
5,24.775624642749882,34.07813594673185,2021-06-16,28.290003
6,24.89337179063102,34.21064020605287,2021-06-17,28.580002
7,25.08493715857961,34.45738658303497,2021-06-18,29.58
8,25.801996033399167,35.37801553700661,2021-06-21,29.5
9,25.80340925604782,35.38851083618326,2021-06-22,30.9
10,27.354310183756315,35.811158659881286,2021-06-23,31.44
11,27.8425191652146,36.424975883454465,2021-06-24,32.06
12,28.315907647124767,37.00251905449302,2021-06-25,32.38
13,28.588299081149238,37.33737268747587,2021-06-28,32.35
14,28.613442846209097,37.359383862051985,2021-06-29,33.6
15,29.432079918841076,38.38564231668311,2021-06-30,34.99
16,30.38852024751811,39.602018869726365,2021-07-01,35.78
17,30.98045611757525,40.334132420249325,2021-07-02,35.85
18,31.095137384728446,40.45209215357638,2021-07-05,37.85
19,32.34183891946804,42.01405015411061,2021-07-06,33.68
20,30.268762118823638,36.3558836759013,2021-07-07,32.48
21,29.560314200181857,35.57366556268018,2021-07-08,33.88
22,29.984315180067902,36.07121681639454,2021-07-09,36.93
23,31.626250842522076,37.9498075520426,2021-07-12,34.65
24,30.6337608109249,36.79182556367668,2021-07-13,35.34
25,31.088395270527435,37.31432875730243,2021-07-14,34.23
26,30.383624692574596,36.50388189881985,2021-07-15,33.75
27,30.159331684504377,36.257890366253164,2021-07-16,35.09
28,30.736925649070702,36.921888827223114,2021-07-19,35.74
29,31.139835965969716,37.380859974561716,2021-07-20,35.35
30,31.780991456445587,36.407210604913544,2021-07-21,35.74
31,32.01844746191523,36.675809824603164,2021-07-22,35.68
32,32.00384494549038,36.656757130816175,2021-07-23,35.43
33,31.89663434057683,36.526114516568796,2021-07-26,37.08
34,32.74796486804063,37.51025780137378,2021-07-27,37.44
35,33.0579089121189,37.87045089982049,2021-07-28,39.89
36,34.46235355340171,39.4871424557771,2021-07-29,41.34
37,35.34332037429432,40.5084347704534,2021-07-30,40.65
38,35.25504066942271,40.38988876632624,2021-08-02,42.06
39,36.05115295771958,41.28537616966976,2021-08-03,41.51
40,35.53974711189662,40.47332163375237,2021-08-04,42.29
41,36.14384879306551,41.138180678252766,2021-08-05,43.1
42,36.44638860785598,41.47470316234691,2021-08-06,43.19
43,36.568468014609714,41.60267683275366,2021-08-09,43.34
44,36.64042348238766,41.680297370500725,2021-08-10,44.56
45,37.31820595045486,42.42751943509846,2021-08-11,46.550003
46,38.268409193766935,43.470479687432956,2021-08-12,46.0
47,37.95774905782851,43.115138132099155,2021-08-13,44.98
48,37.55016462915881,42.659093633093576,2021-08-16,47.960003
49,39.09627062016544,44.370106140480786,2021-08-17,46.78
50,38.618515002082944,44.29095266236975,2021-08-18,44.98
51,37.86954215239996,43.473708605696906,2021-08-19,40.4
52,35.26626507024593,40.6226764729085,2021-08-20,41.7
53,36.23378987534134,41.69438586196063,2021-08-23,42.48
54,36.39226097631527,41.86509114462592,2021-08-24,45.33
55,38.08353237845192,43.721887720007246,2021-08-25,45.48
56,37.959538318665025,43.57683247685573,2021-08-26,45.74
57,38.25839331905947,43.9070715109206,2021-08-27,47.85
58,39.32165603508767,45.07051013586922,2021-08-31,50.53
59,40.622266803038755,46.49429645427959,2021-09-01,49.729996
60,40.609448841783,47.13512863772313,2021-09-02,51.83
61,41.71717956134876,48.36907034003983,2021-09-03,51.579998
62,41.52944142343672,48.15853435068018,2021-09-06,52.56
63,42.10387885397621,48.79760827533137,2021-09-07,54.000004
64,42.69331020174857,49.446534206742115,2021-09-08,55.34
65,43.301158701401874,50.11928936117797,2021-09-09,56.63
66,43.854845522626654,50.7315686619158,2021-09-10,57.95
67,44.41974954777152,51.35719295866071,2021-09-13,61.41
68,45.78868439226998,52.873798013377936,2021-09-14,66.18
69,47.47413654462842,54.739216478693706,2021-09-15,70.09
70,48.75624047621355,56.442539925512065,2021-09-16,61.09
71,45.02798584978125,52.32392748843305,2021-09-17,65.96
72,47.74816499730808,55.37534880759771,2021-09-20,73.76
73,49.98859526139291,57.81940326601,2021-09-21,72.9
74,49.47014558504594,57.22016364650473,2021-09-22,70.91
75,48.99065689733203,56.70287959165879,2021-09-23,68.8
76,48.299623269802204,55.94718317364052,2021-09-24,70.36
77,48.97350556998781,56.70564680090737,2021-09-27,77.11
78,51.09404705390619,59.04860912927161,2021-09-28,79.35
79,51.46027171077308,59.42044930819769,2021-09-29,84.55
80,50.3348125275939,64.25635105939799,2021-09-30,89.95
81,51.34946486873264,65.53751883996995,2021-10-01,91.75
82,51.707101405748936,65.98668863567477,2021-10-04,94.3
