,low,high,mean,actual,date
0,25.38418245256618,27.264262670355542,27.264262670355542,28.18,09.06.2021
1,25.806001248385886,27.456053218330513,27.456053218330513,28.28,10.06.2021
2,26.04915277226092,27.554419659724886,27.554419659724886,27.95,11.06.2021
3,26.02981524719286,27.573433324152667,27.573433324152667,28.78,14.06.2021
4,26.416389978035607,27.670585980155924,27.670585980155924,28.110003,15.06.2021
5,26.277661366332058,27.685361775863523,27.685361775863523,28.290003,16.06.2021
6,26.31923593801252,27.65849795095864,27.65849795095864,28.580002,17.06.2021
7,26.473066974103606,27.722829960707678,27.722829960707678,29.58,18.06.2021
8,26.961780984397944,27.855918691603012,27.855918691603012,29.5,21.06.2021
9,27.115645236964955,27.952560644288912,27.952560644288912,30.9,22.06.2021
10,25.88226489309139,30.860467964785,30.860467964785,31.44,23.06.2021
11,26.2239295644628,31.341329046562578,31.341329046562578,32.06,24.06.2021
12,26.555302664376576,31.805471168790906,31.805471168790906,32.38,25.06.2021
13,26.82707710236072,32.18385665429814,32.18385665429814,32.35,28.06.2021
14,26.990953354379663,32.40960689684762,32.40960689684762,33.6,29.06.2021
15,27.28048199874608,32.824090387567075,32.824090387567075,34.99,30.06.2021
16,27.706815467252014,33.43212628350539,33.43212628350539,35.78,01.07.2021
17,28.12324212181312,34.02019907741238,34.02019907741238,35.85,02.07.2021
18,28.402656349260173,34.40938545367478,34.40938545367478,37.85,05.07.2021
19,28.867532001998523,35.07119328805743,35.07119328805743,33.68,06.07.2021
20,25.41354581728447,33.09832284476972,33.09832284476972,32.48,07.07.2021
21,25.143314561411035,32.68801632589792,32.68801632589792,33.88,08.07.2021
22,25.209707376687295,32.788822794252994,32.788822794252994,36.93,09.07.2021
23,25.60205347022212,33.384543681741874,33.384543681741874,34.65,12.07.2021
24,25.445116693631988,33.146259755609776,33.146259755609776,35.34,13.07.2021
25,25.494588482463776,33.22137327983636,33.22137327983636,34.23,14.07.2021
26,25.373645909598594,33.03773876072096,33.03773876072096,33.75,15.07.2021
27,25.26988732694562,32.880198551484845,32.880198551484845,35.09,16.07.2021
28,25.396455940420715,33.07237247295279,33.07237247295279,35.74,19.07.2021
29,25.517386057107426,33.25598761579056,33.25598761579056,35.35,20.07.2021
30,33.446929759609596,34.49949898482146,34.49949898482146,35.74,21.07.2021
31,33.667058113608654,34.61436986269139,34.61436986269139,35.68,22.07.2021
32,33.66579588752348,34.642327063262165,34.642327063262165,35.43,23.07.2021
33,33.4936238206421,34.56472230334116,34.56472230334116,37.08,26.07.2021
34,34.61410966696331,35.15080764477194,35.15080764477194,37.44,27.07.2021
35,35.007392741923205,35.45263192131017,35.45263192131017,39.89,28.07.2021
36,36.664958555526184,36.412565931244664,36.412565931244664,41.34,29.07.2021
37,37.76637814466606,37.163189086173226,37.163189086173226,40.65,30.07.2021
38,37.393700356938716,37.06479911644174,37.06479911644174,42.06,02.08.2021
39,38.25626857181609,37.57414332632558,37.57414332632558,41.51,03.08.2021
40,37.086937897646195,40.17225856812077,40.17225856812077,42.29,04.08.2021
41,37.33778872383684,40.408186892501796,40.408186892501796,43.1,05.08.2021
42,37.65650081034361,40.71991244690554,40.71991244690554,43.19,06.08.2021
43,37.877805581198366,40.93053258467087,40.93053258467087,43.34,09.08.2021
44,38.04621865022082,41.087737861108074,41.087737861108074,44.56,10.08.2021
45,38.4250913107083,41.46527355843955,41.46527355843955,46.550003,11.08.2021
46,39.126418447323516,42.17393046407569,42.17393046407569,46.0,12.08.2021
47,39.47620177901909,42.50876361356506,42.50876361356506,44.98,13.08.2021
48,39.44824734648798,42.455124541024425,42.455124541024425,47.960003,16.08.2021
49,40.03998225686578,43.055562168094745,43.055562168094745,46.78,17.08.2021
50,30.99257265758104,38.97490149238858,38.97490149238858,44.98,18.08.2021
51,30.78030830425738,38.68818794435687,38.68818794435687,40.4,19.08.2021
52,30.100339361662375,37.761237895016556,37.761237895016556,41.7,20.08.2021
53,30.168737621672644,37.902978133870704,37.902978133870704,42.48,23.08.2021
54,30.196506595546502,37.93770595945099,37.93770595945099,45.33,24.08.2021
55,30.593354905589088,38.4862815954427,38.4862815954427,45.48,25.08.2021
56,30.662492232188704,38.55473521624618,38.55473521624618,45.74,26.08.2021
57,30.754983509403722,38.677769043074846,38.677769043074846,47.85,27.08.2021
58,31.081991410772932,39.12522265419019,39.12522265419019,50.53,31.08.2021
59,31.49941455961181,39.68205258444943,39.68205258444943,49.729996,01.09.2021
60,29.400440533511965,42.79835592284366,42.79835592284366,51.83,02.09.2021
61,29.553490982418797,43.08991907636052,43.08991907636052,51.579998,03.09.2021
62,29.674343593995015,43.35880091289948,43.35880091289948,52.56,06.09.2021
63,29.774640743052565,43.5461307649616,43.5461307649616,54.000004,07.09.2021
64,29.896772188951925,43.793291794284826,43.793291794284826,55.34,08.09.2021
65,30.025834806161104,44.07402914468958,44.07402914468958,56.63,09.09.2021
66,30.154919567687564,44.36359100553193,44.36359100553193,57.95,10.09.2021
67,30.28225492814861,44.65455349444247,44.65455349444247,61.41,13.09.2021
68,30.457826147733044,45.04289838664808,45.04289838664808,66.18,14.09.2021
69,30.69958119559937,45.60939707944135,45.60939707944135,70.09,15.09.2021
70,44.86471413762416,56.75144041863832,56.75144041863832,61.09,16.09.2021
71,44.68087755161356,55.40912941000619,55.40912941000619,65.96,17.09.2021
72,44.90913563809542,55.39458059355074,55.39458059355074,73.76,20.09.2021
73,45.84347081724987,57.148216759649735,57.148216759649735,72.9,21.09.2021
74,46.50465861074858,58.07521109762461,58.07521109762461,70.91,22.09.2021
75,46.783115096473104,58.06670214370831,58.06670214370831,68.8,23.09.2021
76,46.66481461746384,57.370340870243986,57.370340870243986,70.36,24.09.2021
77,46.651932160884,57.21457774246989,57.21457774246989,77.11,27.09.2021
78,47.339253016817224,58.66571699839315,58.66571699839315,79.35,28.09.2021
79,48.11807419176702,60.0554500624885,60.0554500624885,84.55,29.09.2021
80,37.29731998400073,49.30849732814972,49.30849732814972,89.95,30.09.2021
81,37.693888722037606,49.7315645098563,49.7315645098563,91.75,01.10.2021
82,37.86621579913997,49.91063453157157,49.91063453157157,94.3,04.10.2021
83,38.04524706829999,50.09884462024572,50.09884462024572,116.88,05.10.2021
84,39.08116930299377,51.21058899731916,51.21058899731916,106.1,06.10.2021
85,38.763808019841306,50.853932623146626,50.853932623146626,96.6,07.10.2021
86,38.326659820381906,50.38066427415772,50.38066427415772,84.65,08.10.2021
87,37.63991471669806,49.638054594046224,49.638054594046224,83.1,11.10.2021
88,37.445913889054204,49.43518773536987,49.43518773536987,86.18,12.10.2021
89,37.58016934866643,49.58654414400449,49.58654414400449,93.36,13.10.2021
90,43.26426128633571,64.12146780839076,64.12146780839076,101.299995,14.10.2021
91,44.21377639498819,65.57067497263101,65.57067497263101,88.93,15.10.2021
92,42.79507025976668,63.464794687578284,63.464794687578284,90.73,18.10.2021
93,43.02941526546192,63.79011685279427,63.79011685279427,91.48,19.10.2021
94,43.09035642662688,63.87828445205963,63.87828445205963,93.98,20.10.2021
95,43.38897808127795,64.33235921404282,64.33235921404282,87.54,21.10.2021
96,42.610851684282935,63.17351387410679,63.17351387410679,87.23,22.10.2021
97,42.55580367955512,63.076311393389645,63.076311393389645,88.25,25.10.2021
98,42.64864372976736,63.21422066535369,63.21422066535369,88.03,26.10.2021
99,42.609066298701926,63.16173309731182,63.16173309731182,86.83,27.10.2021
100,42.885239151706564,64.36567533939626,64.36567533939626,75.38,28.10.2021
101,41.376701825383755,62.71833189625941,62.71833189625941,64.4,29.10.2021
102,39.724946127028105,61.09061939039463,61.09061939039463,65.5,01.11.2021
103,39.786587602227165,61.25092210321189,61.25092210321189,70.7,02.11.2021
104,40.50161930320137,61.96971557008469,61.96971557008469,79.95,03.11.2021
105,41.8398059327394,63.36032333471274,63.36032333471274,73.93,04.11.2021
106,41.03058337819864,62.397383233706975,62.397383233706975,74.21,05.11.2021
107,41.16160299944777,62.631747615679835,62.631747615679835,78.36,08.11.2021
108,41.717325713842826,63.20257275446242,63.20257275446242,71.15,09.11.2021
109,40.68240550950614,62.05412417149113,62.05412417149113,71.44,10.11.2021
110,38.18705374010599,58.53739067973366,58.53739067973366,74.95,11.11.2021
111,38.21356048789467,58.713775702978275,58.713775702978275,74.5,12.11.2021
112,38.235466753767646,58.761087036855066,58.761087036855066,80.64,15.11.2021
113,38.38166353647515,59.268579428206046,59.268579428206046,94.600006,16.11.2021
114,38.722176703347806,60.48985513464437,60.48985513464437,94.78001,17.11.2021
115,38.96038866044873,61.064644106220754,61.064644106220754,93.98999,18.11.2021
116,39.10036842607881,61.35113067500031,61.35113067500031,87.09,19.11.2021
117,39.106859479082615,61.10083345674177,61.10083345674177,84.78,22.11.2021
118,39.06375002941042,60.88199224118483,60.88199224118483,91.38,23.11.2021
119,39.104108047660105,61.21956021385874,61.21956021385874,93.9,24.11.2021
120,43.06580945091781,53.31262724332314,53.31262724332314,92.45,25.11.2021
121,43.041334444239915,53.27809318051909,53.27809318051909,87.53,26.11.2021
122,42.70947970542522,52.85860230605384,52.85860230605384,93.79,29.11.2021
123,43.060176490208754,53.29993301344022,53.29993301344022,91.65,30.11.2021
124,42.997649242318346,53.22011935787016,53.22011935787016,95.30001,01.12.2021
125,43.232057912925775,53.51277865509257,53.51277865509257,92.4,02.12.2021
126,43.09882385994827,53.344044493469504,53.344044493469504,89.21,03.12.2021
127,42.856163663112966,53.038308976891024,53.038308976891024,89.35,06.12.2021
128,42.80321660048745,52.97337630253566,52.97337630253566,95.35,07.12.2021
129,43.1899837100866,53.46014161290903,53.46014161290903,102.149994,08.12.2021
130,29.121600674294463,65.44590835297488,65.44590835297488,100.200005,09.12.2021
131,29.14521758867761,65.0066093866993,65.0066093866993,104.5,10.12.2021
132,29.695051298695006,66.11379757049158,66.11379757049158,116.55,13.12.2021
133,31.065020559614577,68.7677441722385,68.7677441722385,127.55,14.12.2021
134,32.33702336087072,70.89280143605897,70.89280143605897,129.6,15.12.2021
135,32.74834298225825,71.11050775535512,71.11050775535512,135.1,16.12.2021
136,33.341813453503164,72.23202884850934,72.23202884850934,135.3,17.12.2021
137,33.456003393616626,72.1035585917875,72.1035585917875,146.56,20.12.2021
138,34.380860804973615,74.29037082043311,74.29037082043311,180.41,21.12.2021
139,36.588126078670456,79.75319120372356,79.75319120372356,166.1,22.12.2021
140,49.80189486154958,99.4237501954928,99.4237501954928,126.1,23.12.2021
141,46.94128641875181,93.36004929878635,93.36004929878635,98.86001,24.12.2021
142,44.76774140419884,88.55750048786699,88.55750048786699,96.0,29.12.2021
143,44.49678630595419,87.85935659686132,87.85935659686132,84.6,30.12.2021
144,43.053660524848,85.15741772348115,85.15741772348115,65.1,31.12.2021
145,40.444481428529905,80.28373029328765,80.28373029328765,85.3,04.01.2022
146,42.793218441233826,84.66185004698747,84.66185004698747,94.41,05.01.2022
147,43.718175502018596,86.38762312586415,86.38762312586415,97.33,06.01.2022
148,44.0969900336732,87.09814569023145,87.09814569023145,87.34,07.01.2022
149,43.01974927096755,85.08818351549341,85.08818351549341,84.56,10.01.2022
150,37.08715657277938,59.27738733040567,59.27738733040567,80.65,11.01.2022
151,36.667734899305636,58.760040717863404,58.760040717863404,75.1,12.01.2022
152,36.04867390139966,58.020575530806205,58.020575530806205,84.48,13.01.2022
153,36.79586468714924,58.901526297068784,58.901526297068784,84.5,14.01.2022
154,36.83764824582406,58.90338641972062,58.90338641972062,75.73,17.01.2022
155,36.05364806866953,57.9835945209423,57.9835945209423,79.96,18.01.2022
156,36.357354612176884,58.36712302413869,58.36712302413869,74.28,19.01.2022
157,35.78446174776792,57.64452073469309,57.64452073469309,75.73,20.01.2022
158,35.84177677697766,57.72773907904553,57.72773907904553,79.9,21.01.2022
159,36.21308438507307,58.14412974909104,58.14412974909104,91.15,24.01.2022
160,34.70086002992251,78.91830615349056,78.91830615349056,91.7,25.01.2022
161,34.53459495967658,78.24727244291957,78.24727244291957,90.6,26.01.2022
162,34.57526023032858,78.41558586251423,78.41558586251423,90.35,27.01.2022
163,34.5589426365301,78.36106655336158,78.36106655336158,91.15,28.01.2022
164,34.655768663853415,78.59870829429244,78.59870829429244,84.13,31.01.2022
