,low,high,mean,actual,date
0,22.4069540920962,29.951053014525346,29.951053014525346,28.179998,09.06.2021
1,22.606569852102474,30.231291183237293,30.231291183237293,28.280003,10.06.2021
2,22.680502187669727,30.33508288935615,30.33508288935615,27.95,11.06.2021
3,22.43652815070514,29.99257082135493,29.99257082135493,28.78,14.06.2021
4,23.05015824359579,30.854038608995356,30.854038608995356,28.11,15.06.2021
5,22.554818763230706,30.158636426763067,30.158636426763067,28.29,16.06.2021
6,22.68789499958319,30.345460935585997,30.345460935585997,28.580002,17.06.2021
7,23.047261554365058,30.646455196757632,30.646455196757632,29.580002,18.06.2021
8,23.971800147065657,31.685417933243507,31.685417933243507,29.500002,21.06.2021
9,23.9700953027974,31.601865103845906,31.601865103845906,30.9,22.06.2021
10,25.045265951928627,33.062783121374146,33.062783121374146,31.440002,23.06.2021
11,25.492923200929443,33.62458341865021,33.62458341865021,32.06,24.06.2021
12,26.001098907759474,34.269610474532264,34.269610474532264,32.38,25.06.2021
13,26.25341023755118,34.60252594182149,34.60252594182149,32.35,28.06.2021
14,26.243054678962135,34.571310285434045,34.571310285434045,33.6,29.06.2021
15,27.177560918447956,35.8654965011954,35.8654965011954,34.99,30.06.2021
16,28.205234859251526,37.30410677904865,37.30410677904865,35.78,01.07.2021
17,28.789304948308732,38.12172647808145,38.12172647808145,35.85,02.07.2021
18,28.841058848135603,38.194176034833355,38.194176034833355,37.85,05.07.2021
19,30.319723830688794,40.2641127734104,40.2641127734104,33.68,06.07.2021
20,27.25921916410804,35.94829599462616,35.94829599462616,32.48,07.07.2021
21,26.39143094392487,34.70633170271585,34.70633170271585,33.88,08.07.2021
22,27.426497696641903,36.15528910629284,36.15528910629284,36.93,09.07.2021
23,29.681459932777766,39.38952906927256,39.38952906927256,34.65,12.07.2021
24,27.995784972827288,37.02980534750828,37.02980534750828,35.34,13.07.2021
25,28.505921320839693,37.743931301662826,37.743931301662826,34.23,14.07.2021
26,27.68526297934361,36.59511362890702,36.59511362890702,33.75,15.07.2021
27,27.330382708901617,36.098330723097995,36.098330723097995,35.09,16.07.2021
28,28.32108977918279,37.485191317557025,37.485191317557025,35.74,19.07.2021
29,28.8016562850189,38.157920335951296,38.157920335951296,35.35,20.07.2021
30,28.513314132753152,37.75427842738657,37.75427842738657,35.74,21.07.2021
31,28.80165487954135,38.157920335951296,38.157920335951296,35.68,22.07.2021
32,28.75729660258304,38.095823526833335,38.095823526833335,35.43,23.07.2021
33,28.572462249971036,37.83707792081733,37.83707792081733,37.08,26.07.2021
34,29.79236054434497,39.54477811945522,39.54477811945522,37.44,27.07.2021
35,30.058518638960138,39.91736459607322,39.91736459607322,39.89,28.07.2021
36,31.869881239782288,42.45303724137786,42.45303724137786,41.34,29.07.2021
37,32.94191205206662,43.95373870643887,43.95373870643887,40.65,30.07.2021
38,32.43177429857666,43.23960994132922,43.23960994132922,42.06,02.08.2021
39,33.475900759581556,44.698130214157004,44.698130214157004,41.51,03.08.2021
40,33.067991821174765,44.12949648503241,44.12949648503241,42.29,04.08.2021
41,33.646483569835674,44.93592296085631,44.93592296085631,43.1,05.08.2021
42,34.24721840620427,45.77335427143514,45.77335427143514,43.19,06.08.2021
43,34.31396734601302,45.866402507161126,45.866402507161126,43.34,09.08.2021
44,34.42521932696775,46.02148290003778,46.02148290003778,44.56,10.08.2021
45,35.33003766416307,47.2828090506781,47.2828090506781,46.55,11.08.2021
46,36.80592401759974,49.34020611855326,49.34020611855326,46.0,12.08.2021
47,36.42605997822739,48.77158082229396,48.77158082229396,44.98,13.08.2021
48,35.669567308803,47.717028528822524,47.717028528822524,47.96,16.08.2021
49,37.91803061674727,50.803316681059634,50.803316681059634,46.78,17.08.2021
50,37.14676637827146,49.5833509237633,49.5833509237633,44.98,18.08.2021
51,35.86624702620715,47.72238620924346,47.72238620924346,40.4,19.08.2021
52,32.59956301946121,42.98623044859944,42.98623044859944,41.7,20.08.2021
53,33.69312574781288,44.331294951673975,44.331294951673975,42.48,23.08.2021
54,34.34846619795747,45.13771018367747,45.13771018367747,45.33,24.08.2021
55,36.48351590047497,48.112136377703116,48.112136377703116,45.48,25.08.2021
56,36.61040803560707,48.26721677057977,48.26721677057977,45.74,26.08.2021
57,36.81571176325855,48.536025595854404,48.536025595854404,47.850002,27.08.2021
58,38.41193229357861,50.71748978898599,50.71748978898599,50.53,31.08.2021
59,40.39955864491233,53.460363556634725,53.460363556634725,49.73,01.09.2021
60,39.806239108098005,52.63327937177964,52.63327937177964,51.83,02.09.2021
61,41.36371062236215,54.80440487205279,54.80440487205279,51.58,03.09.2021
62,41.178300023954606,54.5459375505917,54.5459375505917,52.56,06.09.2021
63,41.90512025134155,55.55912945071917,55.55912945071917,54.0,07.09.2021
64,43.00545175957444,57.04812047683286,57.04812047683286,55.34,08.09.2021
65,43.99935769675961,58.43376392773351,58.43376392773351,56.63,09.09.2021
66,44.956184325218366,59.76770829243174,59.76770829243174,57.949997,10.09.2021
67,45.935254041384816,61.13267435761551,61.13267435761551,61.409996,13.09.2021
